Symbol,GICS Sector,GICS Sub-Industry
LE,Consumer Services,Clothing/Shoe/Accessory Stores
LSTR,Transportation,Trucking Freight/Courier Services
LNTH,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
LTRX,Technology,Computer Communications Equipment
LSCC,Technology,Semiconductors
LAUR,Consumer Services,Other Consumer Services
LAWS,Consumer Durables,Industrial Specialties
LAZY,Consumer Durables,Automotive Aftermarket
LCNB,Finance,Major Banks
LPTX,Health Care,Major Pharmaceuticals
LEGH,Basic Industries,Homebuilding
LGCY,Energy,Oil & Gas Production
LTXB,Finance,Savings Institutions
DDBI,n/a,n/a
EDBI,n/a,n/a
INFR,n/a,n/a
LVHD,n/a,n/a
SQLV,n/a,n/a
UDBI,n/a,n/a
LACQ,Finance,Business Services
LACQU,Finance,Business Services
LACQW,Finance,Business Services
LMAT,Health Care,Medical/Dental Instruments
TREE,Finance,Finance: Consumer Services
LEVL,Finance,Major Banks
LXRX,Health Care,Major Pharmaceuticals
LX,Finance,Finance: Consumer Services
LFAC,Finance,Business Services
LFACU,Finance,Business Services
LFACW,Finance,Business Services
LGIH,Capital Goods,Homebuilding
LHCG,Health Care,Medical/Nursing Services
LLIT,Health Care,Medical/Dental Instruments
LBRDA,Consumer Services,Television Services
LBRDK,Consumer Services,Television Services
LEXEA,Consumer Services,Other Consumer Services
LEXEB,Consumer Services,Other Consumer Services
LBTYA,Consumer Services,Television Services
LBTYB,Consumer Services,Television Services
LBTYK,Consumer Services,Television Services
LILA,Consumer Services,Television Services
LILAK,Consumer Services,Television Services
BATRA,Consumer Services,Broadcasting
BATRK,Consumer Services,Broadcasting
FWONA,Consumer Services,Broadcasting
FWONK,Consumer Services,Broadcasting
LSXMA,Consumer Services,Broadcasting
LSXMB,Consumer Services,Broadcasting
LSXMK,Consumer Services,Broadcasting
LTRPA,Technology,EDP Services
LTRPB,Technology,EDP Services
LCUT,Capital Goods,Industrial Machinery/Components
LFVN,Health Care,Major Pharmaceuticals
LWAY,Consumer Non-Durables,Packaged Foods
LGND,Health Care,Major Pharmaceuticals
LTBR,Consumer Services,Professional Services
LPTH,Technology,Semiconductors
LLEX,Energy,Oil & Gas Production
LMB,Basic Industries,Engineering & Construction
LLNW,Miscellaneous,Business Services
LMST,Finance,Major Banks
LMNR,Consumer Non-Durables,Farming/Seeds/Milling
LINC,Consumer Services,Other Consumer Services
LECO,Technology,Industrial Machinery/Components
LIND,Consumer Services,Transportation Services
LINDW,Consumer Services,Transportation Services
LPCN,Health Care,Major Pharmaceuticals
YVR,Consumer Non-Durables,Beverages (Production/Distribution)
LQDA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LQDT,Miscellaneous,Business Services
LFUS,Consumer Durables,Electrical Products
LIVN,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LOB,Finance,Major Banks
LIVE,Finance,Finance/Investors Services
LPSN,Technology,Computer Software: Prepackaged Software
LIVX,Consumer Services,Restaurants
LKQ,Consumer Services,Motor Vehicles
LMFA,Finance,Finance: Consumer Services
LMFAW,Finance,Finance: Consumer Services
LOGC,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LOGI,Technology,Computer peripheral equipment
LOGM,Technology,Computer Software: Prepackaged Software
CNCR,n/a,n/a
CHNA,n/a,n/a
LONE,Energy,Oil & Gas Production
LOAC,Finance,Business Services
LOACR,Finance,Business Services
LOACU,Finance,Business Services
LOACW,Finance,Business Services
LOOP,Basic Industries,Major Chemicals
LORL,Technology,Radio And Television Broadcasting And Communications Equipment
LPLA,Finance,Investment Bankers/Brokers/Service
LRAD,Consumer Non-Durables,Consumer Electronics/Appliances
LYTS,Consumer Durables,Building Products
LULU,Consumer Non-Durables,Apparel
LITE,Consumer Durables,Telecommunications Equipment
LMNX,Health Care,Medical/Dental Instruments
LUNA,Health Care,Biotechnology: Commercial Physical & Biological Resarch
LKCO,Technology,EDP Services
LBC,Finance,Major Banks
MBTF,Finance,Major Banks
MCBC,Finance,Major Banks
MFNC,Finance,Major Banks
MTSI,Technology,Semiconductors
MGNX,Health Care,Major Pharmaceuticals
MDGL,Health Care,Major Pharmaceuticals
MAGS,Consumer Durables,Telecommunications Equipment
MGLN,Health Care,Hospital/Nursing Management
MGTA,Health Care,Major Pharmaceuticals
MGIC,Technology,Computer Software: Prepackaged Software
MGYR,Finance,Savings Institutions
MHLD,Finance,Property-Casualty Insurers
MMYT,Consumer Services,Transportation Services
MBUU,Capital Goods,Marine Transportation
MLVF,Finance,Savings Institutions
MAMS,Technology,Computer Software: Prepackaged Software
TUSK,Energy,Oilfield Services/Equipment
RPIBC,n/a,n/a
MANH,Technology,Computer Software: Prepackaged Software
LOAN,Consumer Services,Real Estate Investment Trusts
MNTX,Technology,Industrial Machinery/Components
MTEX,Consumer Durables,Specialty Chemicals
MNKD,Health Care,Major Pharmaceuticals
MANT,Consumer Services,Other Consumer Services
MARA,Miscellaneous,Multi-Sector Companies
MCHX,Miscellaneous,Business Services
MRIN,Technology,EDP Services
MARPS,Energy,Oil & Gas Production
MRNS,Health Care,Major Pharmaceuticals
MRKR,Health Care,Major Pharmaceuticals
MKTX,Finance,Investment Bankers/Brokers/Service
MRLN,Finance,Major Banks
MAR,Consumer Services,Hotels/Resorts
MBII,Basic Industries,Agricultural Chemicals
MRTN,Transportation,Trucking Freight/Courier Services
MMLP,Energy,Oil Refining/Marketing
MRVL,Technology,Semiconductors
MASI,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MCFT,Capital Goods,Marine Transportation
MTCH,Technology,"Computer Software: Programming, Data Processing"
MTLS,Technology,Computer Software: Prepackaged Software
MTRX,Basic Industries,Engineering & Construction
MAT,Consumer Non-Durables,Recreational Products/Toys
MATW,Capital Goods,Metal Fabrications
MXIM,Technology,Semiconductors
MXWL,Miscellaneous,Industrial Machinery/Components
MBFI,Finance,Major Banks
MBFIO,Finance,Major Banks
MGRC,Technology,Diversified Commercial Services
MDCA,Technology,Advertising
MDJH,Finance,Real Estate
MDRR,Consumer Services,Real Estate Investment Trusts
MFIN,Finance,Finance: Consumer Services
MFINL,Finance,Finance: Consumer Services
MNOV,Health Care,Major Pharmaceuticals
MDSO,Technology,Computer Software: Prepackaged Software
MDGS,Health Care,Medical/Dental Instruments
MDGSW,Health Care,Medical/Dental Instruments
MDWD,Consumer Durables,Specialty Chemicals
MEDP,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MEIP,Health Care,Major Pharmaceuticals
MGTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MLCO,Consumer Services,Hotels/Resorts
MLNT,Health Care,Major Pharmaceuticals
MLNX,Technology,Semiconductors
MELR,Finance,Major Banks
MNLO,Health Care,Major Pharmaceuticals
MTSL,Public Utilities,Telecommunications Equipment
MELI,Miscellaneous,Business Services
AMTB,Finance,Major Banks
AMTBB,Finance,Major Banks
MBWM,Finance,Major Banks
MERC,Basic Industries,Paper
MBIN,Finance,Major Banks
MRCY,Capital Goods,Electrical Products
EBSB,Finance,Major Banks
VIVO,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
MRBK,n/a,n/a
MMSI,Health Care,Medical/Dental Instruments
MACK,Health Care,Major Pharmaceuticals
MRSN,Health Care,Major Pharmaceuticals
MRUS,Health Care,Major Pharmaceuticals
MESA,Transportation,Air Freight/Delivery Services
MLAB,Capital Goods,Industrial Machinery/Components
MESO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CASH,Finance,Savings Institutions
MEOH,Basic Industries,Major Chemicals
MGEE,Energy,Electric Utilities: Central
MGPI,Consumer Non-Durables,Beverages (Production/Distribution)
MBOT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MCHP,Technology,Semiconductors
MU,Technology,Semiconductors
MSFT,Technology,Computer Software: Prepackaged Software
MSTR,Technology,Computer Software: Prepackaged Software
MVIS,Capital Goods,Industrial Machinery/Components
MICT,Capital Goods,Electrical Products
MPB,Finance,Major Banks
MTP,Health Care,Major Pharmaceuticals
MCEP,Energy,Oil & Gas Production
MBCN,Finance,Major Banks
MSEX,Public Utilities,Water Supply
MSBI,Finance,Major Banks
MSVB,Finance,Savings Institutions
MOFG,Finance,Major Banks
MLND,Health Care,Major Pharmaceuticals
TIGO,Public Utilities,Telecommunications Equipment
MIME,Technology,Computer Software: Prepackaged Software
MNDO,Technology,EDP Services
NERV,Health Care,Major Pharmaceuticals
MGEN,Health Care,Medical Specialities
MRTX,Health Care,Major Pharmaceuticals
MSON,Capital Goods,Medical Specialities
MIND,Technology,Diversified Commercial Services
MINDP,Technology,Diversified Commercial Services
MITK,Technology,Computer peripheral equipment
MKSI,Capital Goods,Industrial Machinery/Components
MMAC,Finance,Real Estate
MTC,n/a,n/a
MINI,Capital Goods,Metal Fabrications
MOBL,Technology,Computer Software: Prepackaged Software
MMDM,Consumer Services,Broadcasting
MMDMR,Consumer Services,Broadcasting
MMDMU,Consumer Services,Broadcasting
MMDMW,Consumer Services,Broadcasting
MRNA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MOGO,Finance,Finance: Consumer Services
MTEM,Health Care,Major Pharmaceuticals
MBRX,Health Care,Major Pharmaceuticals
MNTA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MOMO,Technology,Computer Software: Prepackaged Software
MKGI,Consumer Services,Transportation Services
MCRI,Consumer Services,Hotels/Resorts
MDLZ,Consumer Non-Durables,Packaged Foods
MGI,Miscellaneous,Business Services
MDB,Technology,Computer Software: Prepackaged Software
MNCLU,Finance,Business Services
MPWR,Technology,Semiconductors
TYPE,Technology,EDP Services
MNRO,Consumer Services,Automotive Aftermarket
MRCC,n/a,n/a
MRCCL,n/a,n/a
MNST,Consumer Non-Durables,Beverages (Production/Distribution)
MORN,Finance,Investment Managers
MOR,Health Care,Major Pharmaceuticals
MOSY,Technology,Semiconductors
MTFB,Health Care,Major Pharmaceuticals
MTFBW,Health Care,Major Pharmaceuticals
MPAA,Capital Goods,Auto Parts:O.E.M.
MOTS,Health Care,Medical/Dental Instruments
MPVD,Basic Industries,Precious Metals
MOXC,Technology,"Computer Software: Programming, Data Processing"
COOP,Finance,Finance: Consumer Services
MSBF,Finance,Savings Institutions
MTBC,Technology,Computer Software: Prepackaged Software
MTBCP,Technology,Computer Software: Prepackaged Software
MTEC,Technology,EDP Services
MTECU,Technology,EDP Services
MTECW,Technology,EDP Services
MTSC,Capital Goods,Industrial Machinery/Components
MUDS,Finance,Business Services
MUDSU,Finance,Business Services
MUDSW,Finance,Business Services
LABL,Miscellaneous,Publishing
MBIO,Health Care,Major Pharmaceuticals
MFSF,Finance,Major Banks
MVBF,Finance,Major Banks
MYSZ,Technology,Computer Software: Prepackaged Software
MYL,Health Care,Major Pharmaceuticals
MYND,Health Care,Hospital/Nursing Management
MYNDW,Health Care,Hospital/Nursing Management
MYOK,Health Care,Major Pharmaceuticals
MYOS,Health Care,Major Pharmaceuticals
MYRG,Basic Industries,Water Supply
MYGN,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBRV,Health Care,Major Pharmaceuticals
NAKD,Consumer Non-Durables,Apparel
NNDM,Technology,Electrical Products
NANO,Capital Goods,Industrial Machinery/Components
NSTG,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NAOV,Health Care,Industrial Specialties
NH,Technology,EDP Services
NK,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NSSC,Consumer Durables,Telecommunications Equipment
NDAQ,Finance,Investment Bankers/Brokers/Service
NTRA,Health Care,Medical Specialities
NATH,Consumer Services,Restaurants
NKSH,Finance,Major Banks
FIZZ,Consumer Non-Durables,Beverages (Production/Distribution)
NCMI,Consumer Services,Advertising
NCOM,Finance,Major Banks
NESR,Energy,Oilfield Services/Equipment
NESRW,Energy,Oilfield Services/Equipment
NGHC,Finance,Property-Casualty Insurers
NGHCN,Finance,Property-Casualty Insurers
NGHCO,Finance,Property-Casualty Insurers
NGHCP,Finance,Property-Casualty Insurers
NGHCZ,Finance,Property-Casualty Insurers
NHLD,Finance,Investment Bankers/Brokers/Service
NHLDW,Finance,Investment Bankers/Brokers/Service
NATI,Technology,Computer Software: Prepackaged Software
NRC,Health Care,Biotechnology: Commercial Physical & Biological Resarch
NSEC,Finance,Life Insurance
EYE,Health Care,Ophthalmic Goods
NWLI,Finance,Life Insurance
NAII,Consumer Durables,Specialty Chemicals
NHTC,Consumer Durables,Consumer Specialties
NATR,Health Care,Major Pharmaceuticals
BABY,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
JSM,Finance,Finance: Consumer Services
NAVI,Finance,Investment Bankers/Brokers/Service
NMCI,Transportation,Marine Transportation
NBTB,Finance,Major Banks
NCSM,Energy,Oilfield Services/Equipment
NEBU,Finance,Business Services
NEBUU,Finance,Business Services
NEBUW,Finance,Business Services
NKTR,Health Care,Major Pharmaceuticals
NMRD,Health Care,Medical/Dental Instruments
NEOG,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NEO,Health Care,Precision Instruments
NTGN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NEON,Capital Goods,Industrial Machinery/Components
NEOS,Health Care,Major Pharmaceuticals
NVCN,Health Care,Medical/Dental Instruments
NEPT,Health Care,Major Pharmaceuticals
UEPS,Finance,Investment Bankers/Brokers/Service
NETE,Technology,EDP Services
NTAP,Technology,Electronic Components
NTES,Miscellaneous,Business Services
NFLX,Consumer Services,Consumer Electronics/Video Chains
NTGR,Public Utilities,Telecommunications Equipment
NTCT,Technology,EDP Services
NTWK,Technology,Computer Software: Prepackaged Software
CUR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NBIX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NURO,Health Care,Medical/Dental Instruments
NUROW,Health Care,Medical/Dental Instruments
STIM,Health Care,Medical/Dental Instruments
NTRP,Health Care,Major Pharmaceuticals
NBEV,Consumer Non-Durables,Beverages (Production/Distribution)
NFE,Public Utilities,Oil/Gas Transmission
NYMT,Consumer Services,Real Estate Investment Trusts
NYMTN,Consumer Services,Real Estate Investment Trusts
NYMTO,Consumer Services,Real Estate Investment Trusts
NYMTP,Finance,Finance: Consumer Services
NEWA,Basic Industries,Miscellaneous
NWL,Consumer Non-Durables,Plastic Products
NLNK,Health Care,Major Pharmaceuticals
NMRK,n/a,n/a
NWS,Consumer Services,Newspapers/Magazines
NWSA,Consumer Services,Newspapers/Magazines
NEWT,n/a,n/a
NEWTI,n/a,n/a
NEWTZ,n/a,n/a
NXEO,Consumer Durables,Specialty Chemicals
NXEOU,Consumer Durables,Specialty Chemicals
NXEOW,Consumer Durables,Specialty Chemicals
NXST,Consumer Services,Broadcasting
NEXT,Public Utilities,Oil & Gas Production
NXGN,Technology,EDP Services
BIMI,Capital Goods,Metal Fabrications
NODK,Finance,Property-Casualty Insurers
EGOV,Miscellaneous,Business Services
NICE,Technology,Computer Manufacturing
NICK,Finance,Finance Companies
NCBS,Finance,Major Banks
NITE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NIHD,Public Utilities,Telecommunications Equipment
NIU,Capital Goods,Auto Manufacturing
LASR,Technology,Semiconductors
NMIH,Finance,Property-Casualty Insurers
NNBR,Capital Goods,Metal Fabrications
NDLS,Consumer Services,Restaurants
NDSN,Capital Goods,Industrial Machinery/Components
NSYS,Capital Goods,Industrial Machinery/Components
NBN,Finance,Major Banks
NTIC,Capital Goods,Industrial Specialties
NTRS,Finance,Major Banks
NTRSP,Finance,Major Banks
NFBK,Finance,Savings Institutions
NRIM,Finance,Savings Institutions
NWBI,Finance,Major Banks
NWPX,Basic Industries,Steel/Iron Ore
NCLH,Consumer Services,Marine Transportation
NWFL,Finance,Major Banks
NVFY,Consumer Durables,Home Furnishings
NVMI,Capital Goods,Electronic Components
NOVN,Health Care,Major Pharmaceuticals
NOVT,Miscellaneous,Industrial Machinery/Components
NVAX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NVLN,Health Care,Major Pharmaceuticals
NVCR,Health Care,Medical/Dental Instruments
NVMM,Consumer Durables,Telecommunications Equipment
NVUS,Health Care,Major Pharmaceuticals
NUAN,Technology,Computer Software: Prepackaged Software
NCNA,Health Care,Major Pharmaceuticals
NTNX,Technology,Computer Software: Prepackaged Software
NTRI,Consumer Services,Catalog/Specialty Distribution
NUVA,Health Care,Medical/Dental Instruments
NVTR,Health Care,Medical/Dental Instruments
QQQX,n/a,n/a
NVEE,Consumer Services,Other Consumer Services
NVEC,Technology,Semiconductors
NVDA,Technology,Semiconductors
NXPI,Technology,Semiconductors
NXTM,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NXTD,Consumer Services,Diversified Commercial Services
NXTDW,Consumer Services,Diversified Commercial Services
NYMX,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
OIIM,Technology,Semiconductors
OVLY,Finance,Major Banks
OCSL,n/a,n/a
OCSLL,n/a,n/a
OCSI,n/a,n/a
OASM,Health Care,Major Pharmaceuticals
OBLN,Health Care,Medical/Dental Instruments
OBSV,Health Care,Major Pharmaceuticals
OBCI,Consumer Durables,Specialty Chemicals
OPTT,Public Utilities,Electric Utilities: Central
OCFC,Finance,Savings Institutions
OFED,Finance,Savings Institutions
OCUL,Health Care,Major Pharmaceuticals
ODT,Health Care,Major Pharmaceuticals
OMEX,Consumer Services,Marine Transportation
ODP,Consumer Services,Other Specialty Stores
OPI,Finance,Real Estate
OPINI,Finance,Real Estate
OFS,n/a,n/a
OFSSL,n/a,n/a
OFSSZ,n/a,n/a
OCCI,n/a,n/a
OHAI,n/a,n/a
OVBC,Finance,Major Banks
OHRP,Health Care,Major Pharmaceuticals
OKTA,Technology,Computer Software: Prepackaged Software
ODFL,Transportation,Trucking Freight/Courier Services
OLBK,Finance,Major Banks
ONB,Finance,Major Banks
OPOF,Finance,Major Banks
OSBC,Finance,Major Banks
OSBCP,Finance,Major Banks
OLLI,Consumer Services,Department/Specialty Retail Stores
ZEUS,Basic Industries,Metal Fabrications
OFLX,Capital Goods,Industrial Specialties
OMER,Health Care,Major Pharmaceuticals
OMCL,Technology,Computer Manufacturing
ON,Technology,Semiconductors
OTIV,Technology,Semiconductors
ONCY,Health Care,Major Pharmaceuticals
OMED,Health Care,Major Pharmaceuticals
ONTX,Health Care,Major Pharmaceuticals
ONTXW,Health Care,Major Pharmaceuticals
ONCS,Health Care,Major Pharmaceuticals
OHGI,Public Utilities,Telecommunications Equipment
OSS,Technology,Computer Manufacturing
OSPN,Technology,EDP Services
OPBK,Finance,Major Banks
OTEX,Technology,EDP Services
OPRA,n/a,n/a
OPES,Finance,Business Services
OPESU,Finance,Business Services
OPESW,Finance,Business Services
OPGN,Health Care,Medical Specialities
OPGNW,Health Care,Medical Specialities
OPHT,Health Care,Major Pharmaceuticals
OPNT,Basic Industries,Precious Metals
OPK,Health Care,Major Pharmaceuticals
OBAS,Finance,Real Estate
OCC,Basic Industries,Telecommunications Equipment
OPRX,Miscellaneous,Business Services
OPHC,Finance,Major Banks
OPTN,Health Care,Major Pharmaceuticals
OPB,n/a,n/a
ORMP,Health Care,Major Pharmaceuticals
OSUR,Health Care,Medical/Dental Instruments
ORBC,Consumer Services,Telecommunications Equipment
ORBK,Capital Goods,Industrial Machinery/Components
ORTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ORLY,Consumer Services,Other Specialty Stores
ORGO,Health Care,Major Pharmaceuticals
ONVO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ORGS,Health Care,Major Pharmaceuticals
SEED,Consumer Non-Durables,Farming/Seeds/Milling
OBNK,Finance,Major Banks
OESX,Consumer Durables,Building Products
ORIT,Finance,Major Banks
ORRF,Finance,Major Banks
